Malpighiales	Salix purpurea	77065	289	Salix purpurea	Spurpurea	Purple osier willow	v1.0	restricted	JGI/JCVI	JGI/JCVI	98.6
SBM	Anacardium occidentale	171929	449	Anacardium occidentale	Aoccidentale	Cashew	v0.9	restricted	JGI	JGI	96.7
Brassicales-Malvales	Carica papaya	3649	113	Carica papaya	Cpapaya	Papaya	ASGPBv0.4	unrestricted	ASGPB	ASGPB	82.5
Brassicales-Malvales	Cleome violacea	389490	484	Cleome violacea	Cviolacea	Spiderflower	v1.1	restricted	JGI	JGI	98.7
Brassicales-Malvales	Gossypium hirsutum	3635	458	Gossypium hirsutum	Ghirsutum	Upland cotton	v1.1	restricted	JGI	JGI	99.0
Brassicales-Malvales	Gossypium raimondii	29730	221	Gossypium raimondii	Graimondii	Cotton	v2.1	unrestricted	JGI	JGI	98.4
Brassicales-Malvales	Theobroma cacao	3641	233	Theobroma cacao	Tcacao	Cacao	v1.1	unrestricted	CGD	CGD	98.4
Brassicaceae	Alyssum linifolium	457770	472	Alyssum linifolium	Alinifolium	Madwort	v1.1	restricted	JGI	JGI	98.7
Brassicaceae	Arabidopsis halleri	81970	264	Arabidopsis halleri	Ahalleri		v1.1	restricted	JGI	JGI	89.5
Brassicaceae	Arabidopsis lyrata	59689	384	Arabidopsis lyrata	Alyrata	Lyre-leaved rock cress	v2.1	unrestricted	MPIPZ	MPIPZ	98.0
Brassicaceae	Arabidopsis thaliana	3702	447	Arabidopsis thaliana	Athaliana	Thale cress	Araport11	unrestricted	TAIR	Araport	98.7
Brassicaceae	Arabidopsis thaliana columbia	3702	167	Arabidopsis thaliana columbia	Athaliana	Thale cress	TAIR10	unrestricted	TAIR	TAIR	99.0
Brassicaceae	Boechera stricta	72658	278	Boechera stricta	Bstricta	Drummond's rock cress	v1.2	unrestricted	JGI	JGI	96.0
Brassicaceae	Brassica oleracea capitata	3712	446	Brassica oleracea capitata	Boleraceacapitata	Savoy cabbage	v1.0	unrestricted	OCRI	OCRI	88.8
Brassicaceae	Brassica rapa FPsc	3711	277	Brassica rapa FPsc	BrapaFPsc	Turnip mustard - FasPlant self-compatible	v1.3	restricted	JGI	JGI	97.7
Brassicaceae	Cakile maritima	220483	481	Cakile maritima	Cmaritima	European sea rocket	v1.1	restricted	JGI	JGI	98.3
Brassicaceae	Capsella grandiflora	264402	266	Capsella grandiflora	Cgrandiflora		v1.1	unrestricted	JGI	JGI	94.1
Brassicaceae	Capsella rubella	81985	474	Capsella rubella	Crubella	Pink shepherd's purse	v1.1	restricted	JGI	JGI	98.3
Brassicaceae	Caulanthus amplexicaulis	154096	470	Caulanthus amplexicaulis	Camplexicaulis	Claspingleaf wild cabbage	v1.1	restricted	JGI	JGI	98.7
Brassicaceae	Crambe hispanica	70124	488	Crambe hispanica	Chispanica	Abyssinian kale	v1.1	restricted	JGI	JGI	98.3
Brassicaceae	Descurainia sophioides	669666	482	Descurainia sophioides	Dsophioides	Northern tansy mustard	v1.1	restricted	JGI	JGI	98.0
Brassicaceae	Diptychocarpus strictus	359840	489	Diptychocarpus strictus	Dstrictus		v1.1	restricted	JGI	JGI	98.0
Brassicaceae	Eruca vesicaria	180536	487	Eruca vesicaria	Evesicaria	Rocket, eruca, arugala	v1.1	restricted	JGI	JGI	99.3
Brassicaceae	Euclidium syriacum	345537	483	Euclidium syriacum	Esyriacum	Syrian mustard	v1.1	restricted	JGI	JGI	97.7
Brassicaceae	Eutrema salsugineum	72664	173	Eutrema salsugineum	Esalsugineum	Salt cress	v1.0	unrestricted	JGI	JGI	98.7
Brassicaceae	Iberis amara	190884	485	Iberis amara	Iamara	Rocket candytuft	v1.1	restricted	JGI	JGI	98.3
Brassicaceae	Isatis tinctoria	161756	475	Isatis tinctoria	Itinctoria	Woad	v1.1	restricted	JGI	JGI	98.0
Brassicaceae	Lepidium sativum	33125	478	Lepidium sativum	Lsativum	Garden cress	v1.1	restricted	JGI	JGI	98.7
Brassicaceae	Lunaria annua	153659	476	Lunaria annua	Lannua	Annual honesty	v1.1	restricted	JGI	JGI	98.7
Brassicaceae	Malcolmia maritima	313683	477	Malcolmia maritima	Mmaritima	Virginia stock	v1.1	restricted	JGI	JGI	99.0
Brassicaceae	Myagrum perfoliatum	359867	471	Myagrum perfoliatum	Mperfoliatum	Bird's eye cress	v1.1	restricted	JGI	JGI	98.3
Brassicaceae	Rorippa islandica	157092	473	Rorippa islandica	Rislandica	Northern marsh yellowcress	v1.1	restricted	JGI	JGI	98.7
Brassicaceae	Sinapis alba	3728	480	Sinapis alba	Salba	White mustard	v1.1	restricted	JGI	JGI	98.0
