Amborella trichopoda	13333	291	Atrichopoda	amborella	v1.0	AGP	v1.0	AGP	unrestricted	84.5
Triticum aestivum	4565	296	Taestivum	wheat	v2	MIPS	v2.2	MIPS	unrestricted	89.4
Eucalyptus grandis	71139	297	Egrandis	eucalyptus	v2.0	JGI	v2.0	JGI	unrestricted	92.3
Prunus persica	3760	298	Ppersica	peach	v2.0	JGI	v2.1	JGI	unrestricted	98.8
Musa acuminata	4641	304	Macuminata	banana	v1	Genoscope/Cirad	v1	Genoscope/Cirad	unrestricted	86.7
Manihot esculenta	3983	305	Mesculenta	cassava	v6.0	JGI	v6.1	JGI	unrestricted	95.3
Panicum hallii	206008	308	Phallii	Hall's panicgrass	v2.0	JGI	v2.0	JGI	unrestricted	96.6
Kalanchoe laxiflora	1670617	309	Klaxiflora		v1.0	JGI	v1.1	JGI	restricted	94.3
Sphagnum fallax	53036	310	Sfallax	flat-topped bogmoss	v0.5	JGI	v0.5	JGI	restricted	71.1
Setaria viridis	4556	311	Sviridis	green foxtail millet	v1.0	JGI	v1.1	JGI	restricted	97.5
Setaria italica	4555	312	Sitalica	foxtail millet	v2	JGI	v2.2	JGI	unrestricted	98.4
Brachypodium distachyon	15368	314	Bdistachyon	purple false brome	v3.0	JGI	v3.1	JGI	unrestricted	98.6
Brachypodium stacei	1071399	316	Bstacei		v1.0	JGI	v1.1	JGI	unrestricted	98.6
Volvox carteri	3067	317	Vcarteri	volvox	v2	JGI	v2.1	JGI	unrestricted	26.0
Physcomitrella patens	3218	318	Ppatens	moss	v3	COSMOSS	v3.3	COSMOSS	unrestricted	67.9
Marchantia polymorpha	3197	320	Mpolymorpha	common liverwort	v3.0	JGI	v3.1	JGI	unrestricted	66.7
Ananas comosus	4615	321	Acomosus	pineapple	v3	FAFU/UIUC	v3	FAFU/UIUC	unrestricted	89.3
Aquilegia coerulea	218851	322	Acoerulea	Colorado blue columbine	v3	JGI	v3.1	JGI	unrestricted	95.8
Oryza sativa	4530	323	Osativa	rice	v7.0	MSU	v7.0	MSU	unrestricted	95.6
Zostera marina	29655	324	Zmarina	common eelgrass	v2.2	ORCAE	v2.2	ORCAE	unrestricted	85.0
Dunaliella salina	3046	325	Dsalina		v1	JGI	v1.0	JGI	restricted	18.6
Brachypodium distachyon Per1	15368	326	BdistachyonPer1		1.0	JGI	v1	JGI	unrestricted	97.8
Brachypodium distachyon Uni2	15368	327	BdistachyonUni2		1.0	JGI	v1	JGI	unrestricted	97.5
Brachypodium distachyon Bd3-1	15368	328	BdistachyonBd3-1		1.0	JGI	v1	JGI	unrestricted	85.6
Brachypodium distachyon BdTR7a	15368	329	BdistachyonBdTR7a		1.0	JGI	v1	JGI	unrestricted	97.2
Brachypodium distachyon Koz-1	15368	330	BdistachyonKoz-1		1.0	JGI	v1	JGI	unrestricted	98.3
Brachypodium distachyon Bd21 AnntCtrl	15368	331	BdistachyonBd21AnntCtrl		1.0	JGI	v1	JGI	unrestricted	98.1
Brachypodium distachyon Tek-4	15368	332	BdistachyonTek-4		1.0	JGI	v1	JGI	unrestricted	75.1
