Solanum lycopersicum	4081	514	Slycopersicum	tomato	SL3.0	iTAG	ITAG3.2	ITAG	unrestricted	94.5
Mimulus guttatus TOL	4155	505	MguttatusTOL	monkey flower	v3.0	JGI	v3.1	JGI	restricted	93.0
Zea mays PHJ40	4577	512	ZmaysPHJ40	maize	v1.0	JGI	v1.1	JGI	unrestricted	98.0
Zea mays PHB47	4577	513	ZmaysPHB47	maize	v1.0	JGI	v1.1	JGI	unrestricted	97.4
Glycine max Lee	3847	510	GmaxLee	soybean	v1.0	JGI	v1.1	JGI	restricted	97.3
Glycine soja	3848	509	Gsoja	soybean	v1.0	JGI	v1.1	JGI	unrestricted	96.7
Glycine max	3847	508	Gmax	soybean	v4.0	JGI	Wm82.a4.v1	JGI	unrestricted	97.6
Corymbia citriodora	34329	507	Ccitriodora	lemon-scented gum	v2.0	JGI	v2.1	JGI	unrestricted	95.1
Glycine max	3847	275	Gmax	soybean	v2.0	JGI	Wm82.a2.v1	JGI	unrestricted	97.4
Dioscorea alata	55571	504	Dalata	yam	v1.0	JGI	v1.1	JGI	unrestricted	79.5
Thinopyrum intermedium	85679	503	Tintermedium	intermediate wheatgrass	v2.0	JGI	v2.1	JGI	restricted	97.4
Chromochloris zofingiensis	31302	461	Czofingiensis		v5	UCLA	v5.2.3.2	UCLA	unrestricted	27.0
Citrus clementina	85681	182	Cclementina	clementine	v1	JGI	v1.0	JGI	unrestricted	94.6
Ricinus communis	3988	119	Rcommunis	castor bean plant	TIGR.0.1	TIGR	v0.1	TIGR	unrestricted	90.0
Carica papaya	3649	113	Cpapaya	papaya	r.Dec2008	ASGPB	ASGPBv0.4	ASGPB	unrestricted	72.0
Linum usitatissimum	4006	200	Lusitatissimum	flax	BGIv1.0	BGI	v1.0	BGI	unrestricted	92.1
Musa acuminata	4641	304	Macuminata	banana	v1	Genoscope/Cirad	v1	Genoscope/Cirad	unrestricted	86.7
Arabidopsis halleri	81970	264	Ahalleri		v1	JGI	v1.1	JGI	restricted	85.9
Selaginella moellendorffii	88036	91	Smoellendorffii	spikemoss	v1	JGI	v1.0	JGI	unrestricted	61.8
Populus trichocarpa	3694	210	Ptrichocarpa	western poplar	v3.0	JGI	v3.0	JGI	unrestricted	97.6
Theobroma cacao	3641	233	Tcacao	cocoa bean	CGDv1.0	CGD	v1.1	CGD	unrestricted	97.7
Gossypium raimondii	29730	221	Graimondii	cotton	v2.0	JGI	v2.1	JGI	unrestricted	97.4
Vitis vinifera	29760	457	Vvinifera	grape vine	Genoscope.12X	CRIBI	v2.1	CRIBI	unrestricted	95.8
Micromonas pusilla CCMP1545	564608	228	MpusillaCCMP1545		v3.0	JGI.FG	v3.0	JGI.FG	unrestricted	21.1
